threshold,model,net_benefit
0.5800000000000001,ElasticNet A,0.021845238095238095
0.5800000000000001,ElasticNet B,0.018095238095238095
0.5800000000000001,ElasticNet C,0.08059523809523808
0.5800000000000001,ElasticNet D,0.14904761904761904
0.5800000000000001,XGBoost D (Platt),0.19238095238095232
0.5800000000000001,Treat all,-0.342261904761905
0.5800000000000001,Treat none,0
0.5900000000000001,ElasticNet A,0.021554878048780486
0.5900000000000001,ElasticNet B,0.017804878048780486
0.5900000000000001,ElasticNet C,0.07557926829268291
0.5900000000000001,ElasticNet D,0.14429878048780487
0.5900000000000001,XGBoost D (Platt),0.18246951219512192
0.5900000000000001,Treat all,-0.3750000000000001
0.5900000000000001,Treat none,0
0.6,ElasticNet A,0.02125
0.6,ElasticNet B,0.0175
0.6,ElasticNet C,0.058125
0.6,ElasticNet D,0.134375
0.6,XGBoost D (Platt),0.17937499999999998
0.6,Treat all,-0.4093749999999998
0.6,Treat none,0
